service_id,date,exception_type
Feiners-26,20260101,2
Festius-26,20260101,1
Feiners-26,20260106,2
Festius-26,20260106,1
Feiners-26,20260403,2
Festius-26,20260403,1
Feiners-26,20260406,2
Festius-26,20260406,1
Feiners-26,20260501,2
Festius-26,20260501,1
Dissabtes-26,20260509,2
DS_Flo,20260509,1
Festius-26,20260510,2
DG_Flo,20260510,1
Dissabtes-26,20260516,2
DS_Flo,20260516,1
Festius-26,20260517,2
DG_Flo,20260517,1
Feiners-26,20260624,2
Festius-26,20260624,1
Dissabtes-26,20260725,2
Festius-26,20260725,1
Feiners-26,20260803,2
Agost,20260803,1
Feiners-26,20260804,2
Agost,20260804,1
Feiners-26,20260805,2
Agost,20260805,1
Feiners-26,20260806,2
Agost,20260806,1
Feiners-26,20260807,2
Agost,20260807,1
Feiners-26,20260810,2
Agost,20260810,1
Feiners-26,20260811,2
Agost,20260811,1
Feiners-26,20260812,2
Agost,20260812,1
Feiners-26,20260813,2
Agost,20260813,1
Feiners-26,20260814,2
Agost,20260814,1
Dissabtes-26,20260815,2
Festius-26,20260815,1
Feiners-26,20260817,2
Agost,20260817,1
Feiners-26,20260818,2
Agost,20260818,1
Feiners-26,20260819,2
Agost,20260819,1
Feiners-26,20260820,2
Agost,20260820,1
Feiners-26,20260821,2
Agost,20260821,1
Feiners-26,20260824,2
Agost,20260824,1
Feiners-26,20260825,2
Agost,20260825,1
Feiners-26,20260826,2
Agost,20260826,1
Feiners-26,20260827,2
Agost,20260827,1
Feiners-26,20260828,2
Agost,20260828,1
Feiners-26,20260831,2
Agost,20260831,1
Feiners-26,20260911,2
Festius-26,20260911,1
Feiners-26,20261012,2
Festius-26,20261012,1
Dissabtes-26,20261024,2
DisFir,20261024,1
Festius-26,20261025,2
DiuFir,20261025,1
Feiners-26,20261029,2
DiuFir,20261029,1
Dissabtes-26,20261031,2
DisFir,20261031,1
Festius-26,20261101,2
DiuFir,20261101,1
Feiners-26,20261208,2
Festius-26,20261208,1
Feiners-26,20261225,2
Festius-26,20261225,1
Dissabtes-26,20261226,2
Festius-26,20261226,1
