route_id,service_id,trip_id,trip_headsign,trip_short_name,shape_id,wheelchair_accessible,bikes_allowed
L10,DisFir,DisFir_1001_10,Estacio Autobusos/RENFE,Destí Estació RENFE,L10-2,1,1
L10,DisFir,DisFir_1001_11,Fornells De La Selva,Destí Fornells de la Selva,L10-1,1,1
L10,DisFir,DisFir_1001_12,Estacio Autobusos/RENFE,Destí Estació RENFE,L10-2,1,1
L10,DisFir,DisFir_1001_13,Fornells De La Selva,Destí Fornells de la Selva,L10-1,1,1
L10,DisFir,DisFir_1001_14,Estacio Autobusos/RENFE,Destí Estació RENFE,L10-2,1,1
L10,DisFir,DisFir_1001_15,Fornells De La Selva,Destí Fornells de la Selva,L10-1,1,1
L10,DisFir,DisFir_1001_16,Estacio Autobusos/RENFE,Destí Estació RENFE,L10-2,1,1
L10,DisFir,DisFir_1001_17,Fornells De La Selva,Destí Fornells de la Selva,L10-1,1,1
L10,DisFir,DisFir_1001_18,Estacio Autobusos/RENFE,Destí Estació RENFE,L10-2,1,1
L10,DisFir,DisFir_1001_19,Fornells De La Selva,Destí Fornells de la Selva,L10-1,1,1
L10,DisFir,DisFir_1001_01,Fornells De La Selva,Destí Fornells de la Selva,L10-1,1,1
L10,DisFir,DisFir_1001_20,Estacio Autobusos/RENFE,Destí Estació RENFE,L10-2,1,1
L10,DisFir,DisFir_1001_21,Fornells De La Selva,Destí Fornells de la Selva,L10-1,1,1
L10,DisFir,DisFir_1001_22,Estacio Autobusos/RENFE,Destí Estació RENFE,L10-2,1,1
L10,DisFir,DisFir_1001_23,Fornells De La Selva,Destí Fornells de la Selva,L10-1,1,1
L10,DisFir,DisFir_1001_24,Estacio Autobusos/RENFE,Destí Estació RENFE,L10-2,1,1
L10,DisFir,DisFir_1001_25,Fornells De La Selva,Destí Fornells de la Selva,L10-1,1,1
L10,DisFir,DisFir_1001_26,Estacio Autobusos/RENFE,Destí Estació RENFE,L10-2,1,1
L10,DisFir,DisFir_1001_27,Fornells De La Selva,Destí Fornells de la Selva,L10-1,1,1
L10,DisFir,DisFir_1001_28,Estacio Autobusos/RENFE,Destí Estació RENFE,L10-2,1,1
L10,DisFir,DisFir_1001_29,Fornells De La Selva,Destí Fornells de la Selva,L10-1,1,1
L10,DisFir,DisFir_1001_02,Estacio Autobusos/RENFE,Destí Estació RENFE,L10-2,1,1
L10,DisFir,DisFir_1001_30,Estacio Autobusos/RENFE,Destí Estació RENFE,L10-2,1,1
L10,DisFir,DisFir_1001_31,Fornells De La Selva,Destí Fornells de la Selva,L10-1,1,1
L10,DisFir,DisFir_1001_03,Fornells De La Selva,Destí Fornells de la Selva,L10-1,1,1
L10,DisFir,DisFir_1001_04,Estacio Autobusos/RENFE,Destí Estació RENFE,L10-2,1,1
L10,DisFir,DisFir_1001_05,Fornells De La Selva,Destí Fornells de la Selva,L10-1,1,1
L10,DisFir,DisFir_1001_06,Estacio Autobusos/RENFE,Destí Estació RENFE,L10-2,1,1
L10,DisFir,DisFir_1001_07,Fornells De La Selva,Destí Fornells de la Selva,L10-1,1,1
L10,DisFir,DisFir_1001_08,Estacio Autobusos/RENFE,Destí Estació RENFE,L10-2,1,1
L10,DisFir,DisFir_1001_09,Fornells De La Selva,Destí Fornells de la Selva,L10-1,1,1
L11,DisFir,DisFir_1141_10,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1141_11,UdG Montilivi,Destí UdG Montilivi,L11-702F,1,1
L11,DisFir,DisFir_1141_12,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1141_13,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1141_14,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1141_15,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1141_16,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1141_17,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1141_18,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1141_19,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1141_1,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1141_20,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1141_21,UdG Montilivi,Destí UdG Montilivi,L11-702F,1,1
L11,DisFir,DisFir_1141_22,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1141_23,UdG Montilivi,Destí UdG Montilivi,L11-702F,1,1
L11,DisFir,DisFir_1141_24,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1141_25,UdG Montilivi,Destí UdG Montilivi,L11-702F,1,1
L11,DisFir,DisFir_1141_26,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1141_27,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1141_28,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1141_29,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1141_2,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1141_3,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1141_4,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1141_5,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1141_6,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1141_7,UdG Montilivi,Destí UdG Montilivi,L11-702F,1,1
L11,DisFir,DisFir_1141_8,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1141_9,UdG Montilivi,Destí UdG Montilivi,L11-702F,1,1
L11,DisFir,DisFir_1142_10,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1142_11,UdG Montilivi,Destí UdG Montilivi,L11-702F,1,1
L11,DisFir,DisFir_1142_12,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1142_13,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1142_14,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1142_15,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1142_16,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1142_17,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1142_18,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1142_19,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1142_1,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1142_20,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1142_21,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1142_22,CORREUS,Desti Correus,L11-1F,1,1
L11,DisFir,DisFir_1142_23,UdG Montilivi,Destí UdG Montilivi,L11-802F,1,1
L11,DisFir,DisFir_1142_24,CORREUS,Desti Correus,L11-1F,1,1
